x-12 	z+12	12	13.582	13.55	277.141
x-12 	z+12	15	16.251	16.23	39.4297
x-12 	z+12	8	8.867	8.85	33.646
x-12 	z+12	6	6.95	6.93	43.5803
x-12 	z+12	6	6.951	6.93	178.305
x-12 	z0	12	13.67	13.66	100.986
x-12 	z0	6	6.958	6.94	47.3683
x-12 	z0	8	8.87	8.85	55.5937
x-12 	z0	15	16.312	16.3	29.015
x-12 	z-12	12	13.653	13.63	55.0222
x-12 	z-12	6	6.976	6.95	101.783
x-12 	z-12	8	8.877	8.85	51.5014
x-12 	z-12	15	16.313	16.3	23.8193
x-4 	z+12	12	13.687	13.68	52.8839
x-4 	z+12	6	6.977	6.96	83.2828
x-4 	z+12	8	8.892	8.85	40.2583
x-4 	z+12	15	16.289	16.28	30.1398
x-4 	z0	12	13.669	13.66	41.0534
x-4 	z0	6	6.983	6.96	25.8605
x-4 	z0	8	8.892	8.85	35.7566
x-4 	z0	15	16.292	16.26	43.2547
x-4 	z-12	12	13.674	13.66	33.207
x-4 	z-12	8	8.903	8.85	40.6604
x-4 	z-12	15	16.297	16.26	24.9342
x-4 	z-12	6	7.007	6.99	29.077
x-8 	z+12	12	13.671	13.65	39.9348
x-8 	z+12	6	6.974	6.96	45.3398
x-8 	z+12	8	8.887	8.85	33.0594
x-8 	z+12	15	16.34	16.3	65.4715
x-8 	z0	12	13.677	13.66	52.9949
x-8 	z0	6	6.972	6.95	21.0812
x-8 	z0	8	8.888	8.85	29.863
x-8 	z0	15	16.335	16.32	58.9363
x-8 	z-12	12	13.673	13.65	46.169
x-8 	z-12	15	16.308	16.3	54.1411
x-8 	z-12	8	8.883	8.85	82.8661
x-8 	z-12	6	6.979	6.96	14.1008
x-12 	z+12	12	13.582	13.55	277.141
x-12 	z+12	15	16.251	16.23	39.4297
x-12 	z+12	8	8.867	8.85	33.646
x-12 	z+12	6	6.95	6.93	43.5803
x-12 	z+12	6	6.951	6.93	178.305
x-12 	z0	12	13.67	13.66	100.986
x-12 	z0	6	6.958	6.94	47.3683
x-12 	z0	8	8.87	8.85	55.5937
x-12 	z0	15	16.312	16.3	29.015
x-12 	z-12	12	13.653	13.63	55.0222
x-12 	z-12	6	6.976	6.95	101.783
x-12 	z-12	8	8.877	8.85	51.5014
x-12 	z-12	15	16.313	16.3	23.8193
x-4 	z+12	12	13.687	13.68	52.8839
x-4 	z+12	6	6.977	6.96	83.2828
x-4 	z+12	8	8.892	8.85	40.2583
x-4 	z+12	15	16.289	16.28	30.1398
